signal_time,entry_time,exit_time,r_net,market_regime,vol_regime
2021-07-22 15:00:00+00:00,2021-07-22 16:00:00+00:00,2021-07-22 20:00:00+00:00,-0.07812580972728775,BULL,HIGH
2021-07-24 16:00:00+00:00,2021-07-24 17:00:00+00:00,2021-07-24 21:00:00+00:00,-0.523971336560245,BULL,MID
2021-07-25 23:00:00+00:00,2021-07-26 00:00:00+00:00,2021-07-26 01:00:00+00:00,0.9724771687911123,BULL,MID
2021-07-31 20:00:00+00:00,2021-07-31 21:00:00+00:00,2021-08-01 00:00:00+00:00,0.9517467967075739,BULL,MID
2021-08-06 15:00:00+00:00,2021-08-06 16:00:00+00:00,2021-08-07 03:00:00+00:00,0.7118247253310149,BULL,HIGH
2021-08-07 04:00:00+00:00,2021-08-07 05:00:00+00:00,2021-08-07 10:00:00+00:00,0.9687355612877205,BULL,MID
2021-08-09 15:00:00+00:00,2021-08-09 16:00:00+00:00,2021-08-09 20:00:00+00:00,-0.9999999999999999,BULL,HIGH
2021-08-11 06:00:00+00:00,2021-08-11 07:00:00+00:00,2021-08-11 12:00:00+00:00,0.37483059757092546,BULL,MID
2021-08-13 20:00:00+00:00,2021-08-13 21:00:00+00:00,2021-08-14 12:00:00+00:00,-0.3622862340561888,BULL,MID
2021-08-20 13:00:00+00:00,2021-08-20 14:00:00+00:00,2021-08-21 13:00:00+00:00,0.3510075564118355,TRANSITION,MID
2021-08-29 00:00:00+00:00,2021-08-29 01:00:00+00:00,2021-08-29 03:00:00+00:00,-1.0,TRANSITION,MID
2021-09-01 15:00:00+00:00,2021-09-01 16:00:00+00:00,2021-09-01 16:00:00+00:00,1.2116585382973524,BULL,MID
2021-09-16 04:00:00+00:00,2021-09-16 05:00:00+00:00,2021-09-16 09:00:00+00:00,-0.2157754502567338,BULL,MID
2021-10-03 13:00:00+00:00,2021-10-03 14:00:00+00:00,2021-10-03 20:00:00+00:00,0.36190353187323016,BULL,MID
2021-10-07 13:00:00+00:00,2021-10-07 14:00:00+00:00,2021-10-07 18:00:00+00:00,-0.19586168702149395,BULL,MID
2021-10-15 02:00:00+00:00,2021-10-15 03:00:00+00:00,2021-10-15 10:00:00+00:00,-0.5264429974647276,BULL,MID
2021-10-15 18:00:00+00:00,2021-10-15 19:00:00+00:00,2021-10-15 23:00:00+00:00,-0.2731112066055071,BULL,MID
2021-10-21 00:00:00+00:00,2021-10-21 01:00:00+00:00,2021-10-21 08:00:00+00:00,-0.22333786217381882,BULL,MID
2021-10-26 00:00:00+00:00,2021-10-26 01:00:00+00:00,2021-10-26 05:00:00+00:00,-0.5269906366667705,BULL,MID
2021-10-28 17:00:00+00:00,2021-10-28 18:00:00+00:00,2021-10-29 01:00:00+00:00,0.9610970374244042,TRANSITION,MID
2021-11-02 22:00:00+00:00,2021-11-02 23:00:00+00:00,2021-11-03 04:00:00+00:00,0.36177032165425455,BULL,MID
2021-11-08 23:00:00+00:00,2021-11-09 00:00:00+00:00,2021-11-09 04:00:00+00:00,0.007792528989938774,BULL,MID
2021-11-29 16:00:00+00:00,2021-11-29 17:00:00+00:00,2021-11-30 11:00:00+00:00,1.2323347673874656,TRANSITION,MID
2021-12-01 03:00:00+00:00,2021-12-01 04:00:00+00:00,2021-12-01 08:00:00+00:00,0.01878252709894624,BULL,HIGH
2021-12-08 14:00:00+00:00,2021-12-08 15:00:00+00:00,2021-12-09 07:00:00+00:00,-0.19470584161623922,TRANSITION,MID
2021-12-24 18:00:00+00:00,2021-12-24 19:00:00+00:00,2021-12-24 20:00:00+00:00,-1.0,BULL,MID
2022-01-15 14:00:00+00:00,2022-01-15 15:00:00+00:00,2022-01-16 01:00:00+00:00,-0.14121262459907755,TRANSITION,MID
2022-01-16 14:00:00+00:00,2022-01-16 15:00:00+00:00,2022-01-16 21:00:00+00:00,-0.2622700069716159,BULL,MID
2022-02-02 12:00:00+00:00,2022-02-02 13:00:00+00:00,2022-02-02 14:00:00+00:00,-1.0,BULL,MID
2022-02-07 14:00:00+00:00,2022-02-07 15:00:00+00:00,2022-02-07 21:00:00+00:00,0.3732782949314798,BULL,MID
2022-02-08 05:00:00+00:00,2022-02-08 06:00:00+00:00,2022-02-08 08:00:00+00:00,0.2522422964582573,BULL,MID
2022-02-09 10:00:00+00:00,2022-02-09 11:00:00+00:00,2022-02-09 19:00:00+00:00,0.9582141127099892,BULL,MID
2022-02-28 22:00:00+00:00,2022-02-28 23:00:00+00:00,2022-03-01 10:00:00+00:00,-0.03971652200997491,BULL,HIGH
2022-03-02 03:00:00+00:00,2022-03-02 04:00:00+00:00,2022-03-02 08:00:00+00:00,-0.4830354430958614,BULL,HIGH
2022-03-16 14:00:00+00:00,2022-03-16 15:00:00+00:00,2022-03-17 13:00:00+00:00,0.9683437736502873,BULL,MID
2022-03-18 14:00:00+00:00,2022-03-18 15:00:00+00:00,2022-03-18 17:00:00+00:00,0.946929712281667,BULL,MID
2022-03-22 02:00:00+00:00,2022-03-22 03:00:00+00:00,2022-03-22 06:00:00+00:00,0.38010779120067784,BULL,MID
2022-03-25 11:00:00+00:00,2022-03-25 12:00:00+00:00,2022-03-25 17:00:00+00:00,-0.9619649393539021,BULL,MID
